timestamp,temperature,dew_point,humidity,wind_speed,pressure,uv_index,hour,dayofweek,minute,pred_temp_plus_1h,pred_temp_plus_3h
2025-06-02T05:42:35.746958,48.0,45.0,88.0,6.28,29.93,0.0,5.0,0.0,42.0,59.0,59.0
2025-06-02T05:42:45.767436,48.0,45.0,88.0,6.28,29.93,0.0,5.0,0.0,42.0,59.0,59.0
2025-06-02T05:42:55.776066,48.0,45.0,88.0,6.28,29.93,0.0,5.0,0.0,42.0,59.0,59.0
2025-06-02T05:43:05.769757,48.0,45.0,88.0,6.28,29.93,0.0,5.0,0.0,43.0,59.0,59.0
2025-06-02T05:43:15.771827,48.0,45.0,88.0,6.28,29.93,0.0,5.0,0.0,43.0,59.0,59.0
2025-06-02T05:43:25.776291,48.0,45.0,88.0,6.28,29.93,0.0,5.0,0.0,43.0,59.0,59.0
2025-06-02T05:43:35.779384,48.0,45.0,88.0,6.28,29.93,0.0,5.0,0.0,43.0,59.0,59.0
2025-06-02T05:43:45.775423,48.0,45.0,88.0,6.28,29.93,0.0,5.0,0.0,43.0,59.0,59.0
2025-06-02T05:43:55.776424,48.0,45.0,88.0,6.28,29.93,0.0,5.0,0.0,43.0,59.0,59.0
2025-06-02T05:44:05.775627,48.0,45.0,88.0,6.28,29.93,0.0,5.0,0.0,44.0,59.0,59.0
2025-06-02T05:44:15.785331,48.0,45.0,88.0,6.28,29.93,0.0,5.0,0.0,44.0,59.0,59.0
2025-06-02T05:44:25.775035,48.0,45.0,88.0,6.28,29.93,0.0,5.0,0.0,44.0,59.0,59.0
2025-06-02T05:44:35.776518,48.0,45.0,88.0,6.28,29.93,0.0,5.0,0.0,44.0,59.0,59.0
2025-06-02T05:44:45.778856,48.0,45.0,88.0,6.28,29.93,0.0,5.0,0.0,44.0,59.0,59.0
2025-06-02T05:44:55.785256,48.0,45.0,88.0,6.28,29.93,0.0,5.0,0.0,44.0,59.0,59.0
2025-06-02T05:45:05.778139,48.0,45.0,88.0,6.28,29.93,0.0,5.0,0.0,45.0,59.0,59.0
2025-06-02T05:45:15.787399,48.0,45.0,88.0,6.28,29.93,0.0,5.0,0.0,45.0,59.0,59.0
2025-06-02T05:45:25.787269,48.0,45.0,88.0,6.28,29.93,0.0,5.0,0.0,45.0,59.0,59.0
2025-06-02T05:45:35.799830,48.0,45.0,88.0,6.28,29.93,0.0,5.0,0.0,45.0,59.0,59.0
2025-06-02T05:45:45.778790,48.0,45.0,88.0,6.28,29.93,0.0,5.0,0.0,45.0,59.0,59.0
2025-06-02T05:45:55.785494,48.0,45.0,88.0,6.28,29.93,0.0,5.0,0.0,45.0,59.0,59.0
2025-06-02T05:46:05.794501,48.0,45.0,88.0,6.28,29.93,0.0,5.0,0.0,46.0,59.0,59.0
2025-06-02T05:46:15.794564,48.0,45.0,88.0,6.28,29.93,0.0,5.0,0.0,46.0,59.0,59.0
2025-06-02T05:46:25.785566,48.0,45.0,88.0,6.28,29.93,0.0,5.0,0.0,46.0,59.0,59.0
2025-06-02T05:46:35.806098,48.0,45.0,88.0,6.28,29.93,0.0,5.0,0.0,46.0,59.0,59.0
2025-06-02T05:46:45.794529,48.0,45.0,88.0,6.28,29.93,0.0,5.0,0.0,46.0,59.0,59.0
2025-06-02T05:46:55.794337,48.0,45.0,88.0,6.28,29.93,0.0,5.0,0.0,46.0,59.0,59.0
2025-06-02T05:47:05.794494,48.0,45.0,88.0,6.28,29.93,0.0,5.0,0.0,47.0,59.0,59.0
2025-06-02T05:47:15.794279,48.0,45.0,88.0,6.28,29.93,0.0,5.0,0.0,47.0,59.0,59.0
2025-06-02T05:47:25.793525,48.0,45.0,88.0,6.28,29.93,0.0,5.0,0.0,47.0,59.0,59.0
2025-06-02T05:47:35.794950,48.0,45.0,88.0,6.28,29.93,0.0,5.0,0.0,47.0,59.0,59.0
2025-06-02T05:47:45.794360,48.0,45.0,88.0,6.28,29.93,0.0,5.0,0.0,47.0,59.0,59.0
2025-06-02T05:47:55.794026,48.0,45.0,88.0,6.28,29.93,0.0,5.0,0.0,47.0,59.0,59.0
2025-06-02T05:48:05.842023,48.0,45.0,88.0,6.28,29.93,0.0,5.0,0.0,48.0,59.0,59.0
2025-06-02T05:48:15.806779,48.0,45.0,88.0,6.28,29.93,0.0,5.0,0.0,48.0,59.0,59.0
2025-06-02T05:48:25.806586,48.0,45.0,88.0,6.28,29.93,0.0,5.0,0.0,48.0,59.0,59.0
2025-06-02T05:48:35.803673,48.0,45.0,88.0,6.28,29.93,0.0,5.0,0.0,48.0,59.0,59.0
2025-06-02T05:48:45.803301,48.0,45.0,88.0,6.28,29.93,0.0,5.0,0.0,48.0,59.0,59.0
2025-06-02T05:48:55.804070,48.0,45.0,88.0,6.28,29.93,0.0,5.0,0.0,48.0,59.0,59.0
2025-06-02T05:49:05.805930,48.0,44.0,88.0,6.03,29.94,0.0,5.0,0.0,49.0,59.0,59.0
2025-06-02T05:49:15.809445,48.0,44.0,88.0,6.03,29.94,0.0,5.0,0.0,49.0,59.0,59.0
2025-06-02T05:49:25.813049,48.0,44.0,88.0,6.03,29.94,0.0,5.0,0.0,49.0,59.0,59.0
2025-06-02T05:49:35.806885,48.0,44.0,88.0,6.03,29.94,0.0,5.0,0.0,49.0,59.0,59.0
2025-06-02T05:49:45.823372,48.0,44.0,88.0,6.03,29.94,0.0,5.0,0.0,49.0,59.0,59.0
2025-06-02T05:49:55.812583,48.0,44.0,88.0,6.03,29.94,0.0,5.0,0.0,49.0,59.0,59.0
2025-06-02T05:50:05.807024,48.0,44.0,88.0,6.03,29.94,0.0,5.0,0.0,50.0,59.0,59.0
2025-06-02T05:50:15.812645,48.0,44.0,88.0,6.03,29.94,0.0,5.0,0.0,50.0,59.0,59.0
2025-06-02T05:50:25.822567,48.0,44.0,88.0,6.03,29.94,0.0,5.0,0.0,50.0,59.0,59.0
2025-06-02T05:50:35.804918,48.0,44.0,88.0,6.03,29.94,0.0,5.0,0.0,50.0,59.0,59.0
